CustomerID,CustomerName,Segment,Region,SignupDate,LoyaltyTier
C00034,Amira Martin,Enterprise,East,2023-10-04,Gold
C00035,Alex Wright,Consumer,South,2019-12-15,Silver
C00036,Alex Patel,Enterprise,North,2021-12-19,Gold
C00037,Alex Davies,Small Business,South,2024-07-26,None
C00038,Maya Ahmed,Small Business,South,2023-11-22,Bronze
C00039,Alex Evans,Consumer,Central,2025-01-01,Silver
C00040,Oliver Walker,Enterprise,South,2021-01-06,None
C00041,Priya Khan,Consumer,North,2025-09-26,Silver
C00042,Sam Ali,Small Business,South,2024-02-03,Bronze
C00043,Amira Ali,Small Business,Central,2021-07-16,None
C00044,Robin Evans,Consumer,South,2019-02-17,Silver
C00045,Daniel Patel,Enterprise,South,2025-08-16,Silver
C00046,Fatima Ali,Consumer,Central,2023-10-10,Gold
C00047,Oliver Chen,Small Business,Central,2019-05-12,Bronze
C00048,Alex Martin,Enterprise,North,2021-08-08,Gold
C00049,Priya Wilson,Enterprise,Central,2020-09-14,Silver
C00050,Robin Chen,Consumer,East,2020-09-19,Bronze
C00051,Noah Wilson,Small Business,West,2022-10-05,Silver
C00052,Alex Thomas,Consumer,South,2025-08-11,Silver
C00053,Sam Singh,Enterprise,West,2023-09-20,Gold
C00054,Robin Davies,Small Business,East,2022-11-22,Silver
C00055,Grace Patel,Enterprise,Central,2019-05-17,Bronze
C00056,Sofia Wright,Small Business,West,2021-03-24,Bronze
C00057,Alex Martin,Small Business,North,2020-07-10,Bronze
C00058,Sam Wright,Small Business,East,2024-12-08,Silver
C00059,Priya Khan,Enterprise,East,2020-02-22,Bronze
C00060,Grace Patel,Small Business,South,2019-03-13,None
C00061,Maya Wright,Consumer,South,2020-08-26,Bronze
C00062,Amira Singh,Enterprise,North,2020-04-16,None
C00063,Grace Ahmed,Consumer,Central,2023-04-03,Gold
C00064,Alex Singh,Enterprise,Central,2024-02-18,Gold
C00065,Emily Davies,Enterprise,West,2023-08-04,Bronze
C00066,Maya Evans,Enterprise,South,2022-05-19,None
C00067,Grace Ahmed,Consumer,South,2021-06-05,Bronze
C00068,Robin Chen,Enterprise,West,2020-08-17,Bronze
C00069,Sam Johnson,Consumer,East,2019-06-28,Gold
C00070,Sam Singh,Small Business,Central,2025-03-14,Silver
C00071,Alex Ahmed,Consumer,West,2019-06-24,Bronze
C00072,Aisha Brown,Consumer,West,2022-12-12,Bronze
C00073,Emily Thomas,Enterprise,East,2024-08-21,None
C00074,Sofia Ahmed,Consumer,Central,2023-11-20,None
C00075,Sofia Johnson,Enterprise,East,2025-09-08,Gold
C00076,Priya Thomas,Consumer,West,2020-04-24,Gold
C00077,Aisha Davies,Small Business,West,2023-08-26,None
C00078,Oliver Wright,Consumer,South,2020-03-20,None
C00079,Morgan Patel,Small Business,North,2020-08-25,Bronze
C00080,Sam Taylor,Consumer,West,2021-07-12,Bronze
C00081,Liam Singh,Enterprise,West,2021-07-09,Bronze
C00082,Aisha Walker,Enterprise,South,2025-09-18,Gold
C00083,Grace Patel,Small Business,West,2022-03-10,None
C00084,Grace Ali,Enterprise,South,2021-07-12,Bronze
C00085,Emily Brown,Enterprise,North,2019-09-01,Bronze
C00086,Sam Khan,Consumer,East,2023-11-13,Gold
C00087,Fatima Walker,Enterprise,East,2025-08-16,None
C00088,Sam Davies,Small Business,North,2023-11-27,Silver
C00089,Daniel Wright,Enterprise,West,2023-09-09,Silver
C00090,Priya Evans,Consumer,South,2019-02-24,Bronze
C00091,Priya Thomas,Small Business,South,2022-07-23,Silver
C00092,Amira Ali,Small Business,East,2019-01-24,Gold
C00093,Fatima Wilson,Consumer,East,2023-06-23,Gold
C00094,Daniel Martin,Enterprise,Central,2021-05-10,Gold
C00095,Maya Wright,Consumer,North,2023-09-14,Silver
C00096,Noah Wright,Enterprise,Central,2025-04-19,Bronze
C00097,Liam Ahmed,Small Business,East,2025-06-10,Gold
C00098,Alex Chen,Consumer,Central,2021-09-03,None
C00099,Liam Patel,Enterprise,West,2024-05-11,Bronze
C00100,Grace Davies,Small Business,North,2024-10-23,Silver
C00101,Sam Singh,Consumer,East,2022-02-03,Bronze
C00102,Noah Khan,Enterprise,North,2021-12-04,Gold
C00103,Amira Chen,Small Business,West,2023-03-14,Silver
C00104,Daniel Davies,Small Business,Central,2020-05-12,None
C00105,Priya Johnson,Small Business,West,2023-07-10,None
C00106,Emily Singh,Small Business,West,2024-07-07,Gold
C00107,Daniel Khan,Small Business,North,2023-11-03,Bronze
C00108,Sofia Martin,Consumer,East,2023-12-11,None
C00109,Emily Wright,Consumer,North,2022-12-24,None
C00110,Maya Khan,Consumer,South,2020-12-27,Silver
C00111,Sofia Taylor,Small Business,Central,2025-10-20,Silver
C00112,Maya Patel,Consumer,Central,2019-01-11,None
C00113,Daniel Martin,Enterprise,Central,2023-01-14,Gold
C00114,Amira Evans,Small Business,Central,2020-07-15,Silver
C00115,Sam Chen,Small Business,Central,2021-04-03,None
C00116,Robin Brown,Enterprise,Central,2023-12-23,None
C00117,Daniel Martin,Enterprise,North,2022-08-12,Gold
C00118,Grace Thomas,Enterprise,West,2023-05-02,Bronze
C00119,Sofia Taylor,Small Business,South,2019-05-11,Gold
C00120,Fatima Martin,Small Business,Central,2020-02-25,Silver
C00121,Liam Martin,Enterprise,North,2019-01-04,None
C00122,Aisha Johnson,Small Business,Central,2022-04-11,Bronze
C00123,Robin Davies,Small Business,North,2021-02-26,None
C00124,Robin Wright,Enterprise,North,2020-07-15,Gold
C00125,Grace Wright,Small Business,West,2024-11-09,None
C00126,Maya Wright,Small Business,Central,2023-01-02,Gold
C00127,Priya Wilson,Consumer,Central,2025-02-07,Bronze
C00128,Aisha Evans,Consumer,South,2025-03-16,Silver
C00129,Aisha Walker,Enterprise,East,2019-01-27,Gold
C00130,Daniel Thomas,Enterprise,East,2022-03-14,Gold
C00131,Priya Johnson,Consumer,East,2025-03-07,Bronze
C00132,Morgan Thomas,Consumer,Central,2025-08-11,Bronze
C00133,Fatima Patel,Small Business,Central,2024-11-09,Gold
C00134,Oliver Davies,Small Business,East,2021-04-21,Silver
C00135,Robin Patel,Consumer,East,2021-06-01,Bronze
C00136,Daniel Johnson,Consumer,East,2025-08-08,Silver
C00137,Morgan Patel,Consumer,West,2021-10-25,Silver
C00138,Alex Singh,Small Business,North,2024-05-22,Bronze
C00139,Daniel Singh,Enterprise,South,2024-06-01,Gold
C00140,Aisha Wilson,Enterprise,West,2024-06-08,None
C00141,Alex Evans,Enterprise,West,2025-12-12,Silver
C00142,Priya Wright,Consumer,East,2021-07-06,Gold
C00143,Emily Wright,Consumer,North,2023-01-25,None
C00144,Sam Thomas,Consumer,East,2022-05-06,None
C00145,Maya Taylor,Consumer,South,2022-05-01,Bronze
C00146,Liam Davies,Consumer,South,2024-10-12,Bronze
C00147,Priya Davies,Consumer,South,2022-04-15,Gold
C00148,Robin Patel,Enterprise,Central,2025-05-15,Gold
C00149,Grace Thomas,Small Business,South,2022-09-28,Silver
C00150,Noah Ali,Small Business,South,2020-08-20,Gold
C00151,Daniel Ali,Small Business,Central,2020-10-04,Bronze
C00152,Liam Ali,Small Business,North,2023-05-19,None
C00153,Emily Taylor,Consumer,North,2025-10-24,Bronze
C00154,Fatima Wilson,Small Business,North,2022-10-26,Silver
C00155,Robin Ali,Small Business,South,2023-03-05,None
C00156,Sofia Patel,Enterprise,North,2024-02-18,Gold
C00157,Emily Davies,Small Business,West,2022-12-14,Bronze
C00158,Liam Davies,Small Business,South,2025-08-23,Bronze
C00159,Alex Wright,Small Business,Central,2025-10-11,Bronze
C00160,Aisha Brown,Enterprise,Central,2019-01-09,Silver
C00161,Noah Chen,Consumer,West,2022-09-28,Silver
C00162,Sofia Thomas,Enterprise,West,2024-03-25,Gold
C00163,Alex Ahmed,Consumer,North,2020-01-21,Bronze
C00164,Aisha Wright,Consumer,North,2025-08-09,None
C00165,Aisha Wright,Enterprise,East,2020-11-20,Silver
C00166,Alex Ali,Small Business,North,2023-08-11,None
C00167,Robin Martin,Consumer,South,2023-08-14,Silver
C00168,Noah Patel,Small Business,South,2022-12-01,None
C00169,Amira Brown,Small Business,North,2020-10-09,Bronze
C00170,Maya Khan,Small Business,North,2019-09-09,Silver
C00171,Morgan Chen,Small Business,North,2019-09-05,Gold
C00172,Liam Walker,Enterprise,South,2021-02-17,Bronze
C00173,Priya Singh,Enterprise,West,2023-10-20,None
C00174,Robin Brown,Consumer,Central,2025-02-13,Silver
C00175,Alex Ahmed,Consumer,East,2024-10-15,Silver
C00176,Sam Ali,Enterprise,North,2024-11-26,None
C00177,Oliver Wright,Consumer,East,2022-12-01,None
C00178,Sam Brown,Small Business,South,2019-07-11,Gold
C00179,Noah Ali,Small Business,West,2024-07-18,Gold
C00180,Morgan Brown,Small Business,North,2019-12-20,Bronze
C00181,Alex Brown,Consumer,Central,2022-04-21,None
C00182,Grace Taylor,Enterprise,Central,2023-01-10,None
C00183,Morgan Thomas,Consumer,North,2023-03-24,Silver
C00184,Sam Wright,Enterprise,East,2022-11-11,Gold
C00185,Oliver Wilson,Enterprise,East,2023-06-15,Silver
C00186,Robin Patel,Consumer,Central,2023-01-14,Gold
C00187,Sofia Singh,Small Business,Central,2025-03-19,Gold
C00188,Alex Davies,Small Business,North,2023-12-05,Gold
C00189,Aisha Martin,Small Business,South,2019-03-11,None
C00190,Fatima Walker,Consumer,East,2021-04-18,None
C00191,Alex Walker,Consumer,North,2020-02-01,Gold
C00192,Alex Wright,Small Business,West,2019-04-01,None
C00193,Grace Johnson,Enterprise,East,2025-10-14,Gold
C00194,Emily Wilson,Small Business,South,2023-10-11,Gold
C00195,Liam Brown,Small Business,West,2020-04-28,None
C00196,Priya Patel,Consumer,South,2023-12-21,Bronze
C00197,Sofia Wilson,Small Business,South,2023-08-10,Silver
C00198,Liam Taylor,Consumer,East,2023-03-04,Silver
C00199,Daniel Thomas,Enterprise,East,2020-12-27,Silver
C00200,Noah Ahmed,Small Business,North,2020-09-21,Bronze
C00201,Priya Ali,Enterprise,Central,2025-08-22,Bronze
C00202,Robin Patel,Small Business,East,2022-11-27,Gold
C00203,Maya Singh,Consumer,North,2019-12-15,Bronze
C00204,Daniel Wright,Enterprise,West,2024-03-11,None
C00205,Oliver Martin,Consumer,East,2019-12-21,Silver
C00206,Sofia Johnson,Small Business,North,2024-02-24,None
C00207,Alex Davies,Small Business,Central,2019-04-19,Gold
C00208,Oliver Thomas,Consumer,Central,2025-11-19,None
C00209,Priya Brown,Enterprise,East,2020-01-16,Silver
C00210,Maya Wright,Consumer,East,2024-02-13,Gold
C00211,Emily Davies,Consumer,Central,2022-05-15,Gold
C00212,Sofia Brown,Consumer,North,2023-02-11,None
C00213,Alex Chen,Small Business,South,2020-09-23,Bronze
C00214,Priya Khan,Enterprise,South,2023-12-05,None
C00215,Maya Wright,Enterprise,West,2020-01-16,Bronze
C00216,Fatima Brown,Small Business,Central,2022-12-04,Gold
C00217,Liam Patel,Consumer,North,2020-03-08,None
C00218,Fatima Johnson,Enterprise,North,2022-03-07,Silver
C00219,Robin Martin,Small Business,Central,2022-03-13,Silver
C00220,Fatima Walker,Small Business,Central,2020-05-06,Bronze
C00221,Daniel Walker,Enterprise,East,2020-11-02,None
C00222,Maya Khan,Enterprise,East,2025-08-17,Bronze
C00223,Grace Evans,Enterprise,South,2021-05-06,Silver
C00224,Aisha Singh,Enterprise,South,2022-03-22,Gold
C00225,Liam Thomas,Small Business,North,2025-07-15,Bronze
C00226,Fatima Taylor,Enterprise,North,2022-07-01,None
C00227,Sofia Ahmed,Small Business,Central,2023-03-02,Bronze
C00228,Grace Johnson,Consumer,South,2021-12-19,None
C00229,Fatima Brown,Enterprise,Central,2022-05-09,Gold
C00230,Alex Wright,Enterprise,West,2019-05-28,None
C00231,Robin Chen,Consumer,North,2023-10-13,Gold
C00232,Liam Johnson,Small Business,Central,2023-03-14,None
C00233,Priya Davies,Consumer,Central,2025-10-08,Bronze
C00234,Morgan Evans,Consumer,South,2021-02-22,Silver
C00235,Morgan Chen,Small Business,South,2020-06-07,None
C00236,Noah Davies,Enterprise,North,2024-02-20,Gold
C00237,Sofia Martin,Small Business,East,2024-09-17,None
C00238,Maya Singh,Enterprise,Central,2021-10-12,Gold
C00239,Amira Wright,Consumer,South,2019-11-12,Silver
C00240,Maya Ali,Enterprise,South,2019-10-12,Gold
C00241,Liam Singh,Enterprise,North,2020-01-19,Silver
C00242,Noah Thomas,Enterprise,Central,2021-01-19,Bronze
C00243,Daniel Martin,Small Business,West,2022-02-08,None
C00244,Sofia Martin,Enterprise,Central,2025-02-17,Bronze
C00245,Noah Chen,Enterprise,East,2019-04-05,None
C00246,Liam Davies,Consumer,South,2023-07-04,Silver
C00247,Morgan Patel,Enterprise,Central,2021-07-11,Bronze
C00248,Alex Khan,Small Business,Central,2025-12-26,Silver
C00249,Morgan Wilson,Consumer,Central,2024-05-03,None
C00250,Robin Singh,Consumer,South,2023-08-04,None
C00251,Alex Singh,Consumer,West,2019-10-17,None
C00252,Sofia Walker,Small Business,West,2025-10-24,Silver
C00253,Oliver Ali,Small Business,Central,2022-03-17,Silver
C00254,Priya Wright,Consumer,North,2025-09-22,Silver
C00255,Grace Johnson,Consumer,North,2019-11-01,Bronze
C00256,Maya Evans,Small Business,West,2025-01-17,Silver
C00257,Daniel Evans,Enterprise,North,2024-04-06,Gold
C00258,Fatima Chen,Small Business,North,2020-08-25,None
C00259,Oliver Brown,Enterprise,East,2025-04-28,Gold
C00260,Priya Taylor,Consumer,Central,2023-01-05,Gold
C00261,Amira Singh,Small Business,South,2021-05-18,Gold
C00262,Grace Walker,Small Business,East,2020-06-03,Gold
C00263,Maya Davies,Enterprise,North,2020-06-03,Silver
C00264,Sofia Walker,Consumer,South,2022-09-10,None
C00265,Daniel Wilson,Enterprise,West,2025-07-26,Gold
C00266,Grace Evans,Consumer,Central,2020-11-23,None
C00267,Robin Patel,Small Business,South,2020-07-10,Gold
C00268,Priya Ali,Consumer,North,2024-01-18,Silver
C00269,Maya Chen,Small Business,West,2022-04-10,Gold
C00270,Emily Wright,Enterprise,South,2020-05-06,Silver
C00271,Sofia Davies,Consumer,South,2020-11-22,Gold
C00272,Maya Singh,Enterprise,East,2019-09-09,None
C00273,Oliver Johnson,Enterprise,North,2019-02-12,None
C00274,Priya Brown,Small Business,East,2022-05-05,Gold
C00275,Robin Singh,Consumer,West,2019-12-26,Gold
C00276,Daniel Chen,Consumer,East,2023-04-12,Silver
C00277,Grace Davies,Consumer,East,2024-05-27,None
C00278,Grace Evans,Small Business,West,2022-03-11,Bronze
C00279,Grace Chen,Consumer,Central,2022-12-11,Silver
C00280,Priya Wright,Enterprise,East,2023-02-24,None
C00281,Robin Ali,Small Business,South,2019-04-02,None
C00282,Oliver Walker,Small Business,South,2024-09-09,None
C00283,Daniel Brown,Enterprise,South,2020-01-05,Gold
C00284,Amira Chen,Consumer,Central,2023-06-03,None
C00285,Alex Thomas,Consumer,South,2021-08-02,Gold
C00286,Maya Thomas,Consumer,South,2025-11-06,None
C00287,Oliver Wright,Enterprise,West,2023-12-14,Gold
C00288,Maya Wright,Consumer,East,2024-03-16,Silver
C00289,Noah Johnson,Consumer,East,2021-05-16,None
C00290,Amira Chen,Consumer,Central,2019-05-28,Silver
C00291,Sofia Walker,Enterprise,East,2023-08-23,Silver
C00292,Amira Evans,Enterprise,North,2020-05-10,None
C00293,Grace Patel,Enterprise,North,2024-01-12,Silver
C00294,Alex Evans,Small Business,West,2025-09-14,None
C00295,Fatima Singh,Small Business,Central,2025-04-27,Gold
C00296,Aisha Wright,Enterprise,North,2021-08-10,Bronze
C00297,Priya Thomas,Small Business,South,2022-03-22,None
C00298,Robin Singh,Enterprise,East,2024-04-04,Silver
C00299,Liam Johnson,Small Business,North,2022-08-24,Bronze
C00300,Noah Johnson,Enterprise,East,2022-06-06,None
C00301,Sam Ahmed,Consumer,Central,2022-01-01,Bronze
C00302,Fatima Khan,Enterprise,Central,2025-04-08,None
C00303,Emily Davies,Consumer,West,2020-07-24,Bronze
C00304,Alex Walker,Enterprise,North,2021-02-10,Gold
C00305,Fatima Singh,Small Business,South,2020-10-25,None
C00306,Daniel Walker,Enterprise,West,2023-08-26,Silver
C00307,Oliver Brown,Enterprise,Central,2025-05-14,Bronze
C00308,Noah Wright,Enterprise,South,2022-12-27,None
C00309,Fatima Martin,Small Business,Central,2024-03-06,Bronze
C00310,Amira Ahmed,Consumer,East,2022-03-26,Bronze
C00311,Amira Brown,Small Business,North,2021-09-16,Gold
C00312,Sofia Ali,Small Business,East,2025-10-27,None
C00313,Robin Wright,Enterprise,East,2023-04-08,Bronze
C00314,Priya Evans,Consumer,South,2020-09-23,Bronze
C00315,Fatima Taylor,Consumer,West,2023-06-06,None
C00316,Emily Singh,Small Business,East,2023-08-01,Gold
C00317,Oliver Evans,Consumer,West,2022-05-14,None
C00318,Sofia Evans,Consumer,East,2023-07-27,None
C00319,Aisha Wilson,Consumer,East,2025-11-19,Gold
C00320,Morgan Evans,Consumer,West,2024-12-20,None
C00321,Sam Patel,Small Business,North,2019-02-18,None
C00322,Sofia Brown,Small Business,East,2024-02-13,Silver
C00323,Noah Wilson,Small Business,East,2022-08-19,Bronze
C00324,Robin Wilson,Consumer,West,2023-05-07,Silver
C00325,Morgan Singh,Small Business,South,2020-08-19,Gold
C00326,Noah Walker,Consumer,Central,2023-07-06,Gold
C00327,Sam Thomas,Consumer,East,2025-07-01,Bronze
C00328,Sofia Taylor,Small Business,South,2023-03-17,Silver
C00329,Morgan Ahmed,Small Business,East,2019-02-24,Gold
C00330,Priya Thomas,Enterprise,West,2023-11-23,Gold
C00331,Amira Ahmed,Consumer,East,2023-11-26,Silver
C00332,Aisha Wright,Consumer,North,2021-07-15,None
C00333,Grace Khan,Enterprise,West,2023-04-21,None
C00334,Robin Thomas,Small Business,Central,2025-10-20,Silver
C00335,Grace Martin,Enterprise,South,2023-04-20,Gold
C00336,Grace Brown,Enterprise,Central,2022-04-18,Silver
C00337,Sofia Thomas,Enterprise,East,2022-03-03,Gold
C00338,Fatima Patel,Consumer,East,2021-12-02,None
C00339,Priya Ahmed,Small Business,South,2022-07-03,None
C00340,Noah Taylor,Small Business,East,2025-05-06,None
C00341,Emily Walker,Consumer,South,2023-02-28,Silver
C00342,Grace Johnson,Enterprise,South,2020-12-23,None
C00343,Sofia Thomas,Consumer,Central,2022-01-02,Silver
C00344,Robin Wright,Enterprise,West,2023-05-09,Silver
C00345,Daniel Khan,Small Business,North,2020-08-21,None
C00346,Liam Khan,Small Business,West,2023-11-19,Silver
C00347,Robin Patel,Enterprise,East,2023-03-21,Bronze
C00348,Alex Taylor,Enterprise,North,2023-09-21,Bronze
C00349,Aisha Ali,Small Business,West,2022-09-28,Gold
C00350,Robin Wright,Consumer,Central,2022-12-03,Bronze
C00351,Alex Thomas,Consumer,East,2021-12-19,Bronze
C00352,Oliver Patel,Small Business,North,2022-08-04,Bronze
C00353,Liam Wright,Small Business,East,2023-10-15,Silver
C00354,Aisha Walker,Enterprise,East,2025-03-09,Silver
C00355,Oliver Martin,Enterprise,East,2025-07-16,None
C00356,Priya Davies,Consumer,South,2021-05-25,Bronze
C00357,Amira Wright,Consumer,West,2022-05-13,Silver
C00358,Fatima Walker,Small Business,South,2025-04-09,Gold
C00359,Emily Ahmed,Consumer,Central,2019-07-12,None
C00360,Fatima Khan,Consumer,East,2025-10-03,Bronze
C00361,Fatima Thomas,Small Business,North,2021-07-07,Silver
C00362,Morgan Wright,Small Business,South,2020-10-25,Bronze
C00363,Grace Patel,Enterprise,South,2021-09-15,Silver
C00364,Robin Ali,Small Business,Central,2025-08-18,Silver
C00365,Morgan Wright,Small Business,South,2021-06-14,Silver
C00366,Sam Taylor,Small Business,East,2019-03-16,Silver
C00367,Noah Khan,Enterprise,North,2025-04-11,Bronze
C00368,Grace Thomas,Consumer,West,2019-07-07,Bronze
C00369,Oliver Martin,Small Business,East,2019-09-04,Silver
C00370,Priya Patel,Enterprise,West,2020-10-18,None
C00371,Emily Wright,Small Business,South,2022-11-23,None
C00372,Morgan Davies,Small Business,East,2021-11-08,Silver
C00373,Aisha Davies,Enterprise,North,2019-05-10,Bronze
C00374,Emily Chen,Enterprise,Central,2021-08-05,Gold
C00375,Sam Thomas,Consumer,North,2022-04-25,Gold
C00376,Fatima Wright,Small Business,Central,2019-01-27,None
C00377,Maya Wright,Small Business,North,2019-08-17,Silver
C00378,Fatima Martin,Consumer,East,2024-08-28,Silver
C00379,Fatima Ali,Consumer,West,2025-09-26,Bronze
C00380,Oliver Johnson,Consumer,Central,2020-11-08,Silver
C00381,Liam Taylor,Small Business,South,2024-02-16,None
C00382,Priya Ali,Consumer,North,2019-06-19,Bronze
C00383,Grace Khan,Small Business,East,2022-07-15,Bronze
C00384,Emily Evans,Enterprise,South,2021-07-26,Gold
C00385,Oliver Evans,Consumer,West,2021-09-07,Bronze
C00386,Priya Patel,Enterprise,Central,2025-11-17,Gold
C00387,Fatima Evans,Enterprise,North,2021-10-17,None
C00388,Sofia Wright,Enterprise,Central,2019-07-11,None
C00389,Aisha Johnson,Small Business,North,2025-10-26,Bronze
C00390,Robin Ali,Enterprise,South,2021-01-25,Bronze
C00391,Grace Wilson,Small Business,West,2024-08-06,Gold
C00392,Alex Chen,Enterprise,West,2025-08-27,Gold
C00393,Noah Johnson,Consumer,Central,2024-10-01,Silver
C00394,Sofia Ahmed,Enterprise,South,2019-05-13,None
C00395,Maya Singh,Enterprise,North,2019-05-21,Silver
C00396,Priya Wilson,Small Business,East,2024-01-17,None
C00397,Emily Khan,Consumer,South,2020-08-12,None
C00398,Grace Wilson,Consumer,North,2023-11-26,Gold
C00399,Robin Davies,Consumer,West,2024-01-26,Bronze
C00400,Fatima Ali,Small Business,East,2023-02-05,Gold
C00401,Aisha Wilson,Enterprise,South,2025-08-03,Bronze
C00402,Emily Wright,Consumer,North,2024-05-20,Silver
C00403,Grace Singh,Consumer,North,2022-08-19,None
C00404,Emily Ali,Enterprise,East,2023-11-06,Silver
C00405,Emily Davies,Enterprise,East,2022-05-11,Gold
C00406,Oliver Walker,Enterprise,East,2022-08-01,Gold
C00407,Amira Walker,Enterprise,Central,2024-10-03,Silver
C00408,Amira Wright,Enterprise,Central,2025-02-01,Gold
C00409,Priya Brown,Consumer,North,2025-09-24,Silver
C00410,Morgan Wilson,Enterprise,East,2025-03-23,Bronze
C00411,Maya Wilson,Enterprise,Central,2019-02-21,None
C00412,Daniel Wright,Small Business,East,2025-08-19,Silver
C00413,Sofia Johnson,Consumer,North,2025-10-09,Silver
C00414,Morgan Wright,Consumer,Central,2019-05-22,None
C00415,Sofia Johnson,Enterprise,South,2024-12-09,None
C00416,Morgan Walker,Enterprise,East,2019-12-02,Silver
C00417,Fatima Wright,Small Business,South,2019-04-26,Bronze
C00418,Liam Taylor,Consumer,East,2022-06-12,None
C00419,Robin Johnson,Enterprise,East,2023-09-22,Gold
C00420,Daniel Walker,Consumer,North,2020-05-22,Silver
C00421,Maya Wilson,Small Business,North,2020-12-01,None
C00422,Alex Patel,Enterprise,North,2022-05-01,Silver
C00423,Maya Johnson,Enterprise,West,2023-01-11,Bronze
C00424,Grace Patel,Enterprise,East,2019-01-06,Gold
C00425,Sofia Wright,Consumer,East,2025-02-07,None
C00426,Robin Brown,Enterprise,South,2024-01-15,Gold
C00427,Priya Evans,Enterprise,North,2022-03-19,Gold
C00428,Morgan Chen,Enterprise,Central,2023-02-14,Silver
C00429,Fatima Walker,Small Business,East,2023-04-15,Bronze
C00430,Liam Evans,Small Business,North,2020-02-22,Bronze
C00431,Grace Davies,Small Business,North,2022-09-13,Gold
C00432,Sofia Taylor,Enterprise,Central,2024-06-16,Gold
C00433,Maya Ali,Enterprise,East,2021-04-28,Bronze
C00434,Oliver Thomas,Enterprise,West,2023-01-09,Silver
C00435,Grace Thomas,Enterprise,South,2025-02-20,Gold
C00436,Fatima Johnson,Consumer,North,2019-07-02,Gold
C00437,Grace Thomas,Consumer,West,2022-05-03,Silver
C00438,Aisha Singh,Small Business,South,2019-04-12,Silver
C00439,Amira Martin,Enterprise,West,2019-10-23,Silver
C00440,Sam Brown,Consumer,West,2023-01-14,None
C00441,Alex Ali,Small Business,Central,2021-01-16,Silver
C00442,Sam Thomas,Consumer,East,2023-12-05,Bronze
C00443,Daniel Wright,Consumer,Central,2022-12-09,Silver
C00444,Robin Thomas,Consumer,East,2019-03-01,None
C00445,Liam Taylor,Consumer,North,2023-01-09,None
C00446,Fatima Taylor,Small Business,North,2025-12-13,Silver
C00447,Sam Walker,Enterprise,West,2025-06-02,None
C00448,Aisha Ahmed,Small Business,North,2019-03-19,None
C00449,Oliver Johnson,Consumer,South,2019-08-16,Bronze
C00450,Daniel Chen,Consumer,Central,2019-04-24,Gold
C00451,Morgan Walker,Enterprise,Central,2020-06-06,Silver
C00452,Maya Wright,Small Business,North,2021-12-04,Silver
C00453,Sam Ali,Consumer,Central,2024-05-25,Silver
C00454,Fatima Khan,Enterprise,South,2025-06-20,Silver
C00455,Liam Taylor,Enterprise,Central,2020-03-03,Bronze
C00456,Liam Evans,Enterprise,Central,2025-06-26,Gold
C00457,Daniel Chen,Small Business,North,2021-01-28,Bronze
C00458,Oliver Khan,Enterprise,South,2019-12-07,Silver
C00459,Amira Khan,Enterprise,West,2025-07-11,None
C00460,Sofia Thomas,Consumer,Central,2024-03-10,Gold
C00461,Liam Khan,Small Business,Central,2022-09-25,None
C00462,Emily Khan,Consumer,West,2023-02-08,Gold
C00463,Fatima Walker,Small Business,North,2025-08-27,Silver
C00464,Grace Khan,Consumer,West,2019-09-12,Bronze
C00465,Sofia Wilson,Small Business,Central,2025-01-26,Silver
